section	key	srcproj	tgtproj	params
CSV	proj4-epsg.csv:00833	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00834	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00835	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00836	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00837	longlat	utm	datum,ellps,no_defs,proj,south,towgs84,units,zone
CSV	proj4-epsg.csv:00838	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00839	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00840	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00841	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00842	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00843	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00844	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00845	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00846	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00847	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00848	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00849	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00850	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00851	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00852	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00853	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00854	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00855	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00856	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00857	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00858	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00859	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00860	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00861	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00862	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00863	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00864	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00865	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00866	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00867	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00868	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00869	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00870	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00871	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00872	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00873	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00874	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00875	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00876	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00877	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00878	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00879	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00880	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00881	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00882	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00883	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00884	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00885	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00886	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00887	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00888	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00889	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00890	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00891	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00892	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
